;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
195;75,0;82,24;8,9;118,279;51,272;71,722;82,34299999999999;61,892999999999994;82,34299999999999;0,10299999999999443;-6;6
196;76,0;82,31;9,27;118,352;49,551;71,033;81,95100000000001;60,46899999999998;81,95100000000001;-0,35899999999999466;-6;6
197;77,0;82,38;9,27;118,312;47,068;69,71;80,66799999999998;58,02599999999998;80,66799999999998;-1,7120000000000175;-6;6
198;78,0;82,45;9,27;118,261;45,861;69,555;80,56400000000001;56,86999999999999;80,56400000000001;-1,8859999999999957;-6;6
199;79,0;82,53;9,27;118,241;45,762;70,755;81,78399999999999;56,791;81,78399999999999;-0,7460000000000093;-6;6
200;80,0;82,61;9,64;118,244;45,749;72,322;83,718;57,144999999999996;83,718;1,108000000000004;-6;6
201;81,0;82,69;10,52;118,183;43,978;72,302;84,63900000000001;56,315;84,63900000000001;1,9490000000000123;-6;6
202;82,0;82,77;10,52;118,18;40,821;71,196;83,53599999999999;53,16099999999999;83,53599999999999;0,7659999999999911;-6;6
203;83,0;82,85;10,52;118,141;37,696;70,495;82,874;50,07499999999999;82,874;0,02400000000000091;-6;6
204;84,0;82,94;10,52;118,106;35,745;70,78;83,194;48,159000000000006;83,194;0,2540000000000049;-6;6
205;85,0;83,03;11,4;118,041;33,549;71,859;85,21799999999999;46,90800000000001;85,21799999999999;2,187999999999988;-6;6
206;86,0;83,12;12,2;118,037;31,397;72,532;86,69499999999998;45,55999999999999;86,69499999999998;3,5749999999999744;-6;6
207;87,0;83,22;12,2;118,006;32,237;70,948;85,14199999999998;46,431;85,14199999999998;1,9219999999999828;-6;6
208;88,0;83,32;12,2;118,011;30,993;68,904;83,093;45,182;83,093;-0,22699999999998965;-6;6
209;89,0;83,42;12,2;117,999;32,417;68,074;82,27500000000002;46,61800000000001;82,27500000000002;-1,1449999999999818;-6;6
210;90,0;83,53;12,99;118,016;36,329;68,809;83,78299999999999;51,303000000000004;83,78299999999999;0,2529999999999859;-6;6
211;91,0;83,64;13,46;118,0;40,258;69,798;85,25800000000001;55,71800000000001;85,25800000000001;1,6180000000000092;-6;6
212;92,0;83,75;13,46;118,025;40,618;67,974;83,40899999999999;56,05299999999999;83,40899999999999;-0,3410000000000082;-6;6
213;93,0;83,87;13,46;118,008;39,745;65,218;80,67000000000002;55,19700000000001;80,67000000000002;-3,1999999999999886;-6;6
214;94,0;83,99;13,46;117,944;39,943;64,019;79,535;55,45899999999998;79,535;-4,454999999999998;-6;6
215;95,0;84,11;13,93;117,941;42,135;64,779;80,768;58,12399999999999;80,768;-3,3419999999999987;-6;6
216;96,0;84,23;14,09;117,957;45,39;66,531;82,66400000000002;61,522999999999996;82,66400000000002;-1,5659999999999883;-6;6
217;97,0;84,35;14,09;117,935;46,508;65,937;82,09200000000001;62,66300000000001;82,09200000000001;-2,2579999999999814;-6;6
218;98,0;84,47;14,09;117,899;45,849;64,015;80,20599999999999;62,03999999999999;80,20599999999999;-4,26400000000001;-6;6
219;99,0;84,59;14,09;117,902;46,157;63,52;79,70800000000001;62,344999999999985;79,70800000000001;-4,881999999999991;-6;6
